crop,days,price
wheat,1,2269.41
wheat,2,2272.41
wheat,3,2321.74
wheat,4,2333.72
wheat,5,2320.57
wheat,6,2369.48
wheat,7,2354.06
wheat,8,2354.12
wheat,9,2390.41
wheat,10,2426.21
wheat,11,2377.57
wheat,12,2379.04
wheat,13,2446.9
wheat,14,2473.93
wheat,15,2458.98
wheat,16,2425.89
wheat,17,2437.39
wheat,18,2448.2
wheat,19,2452.95
wheat,20,2473.02
wheat,21,2514.52
wheat,22,2567.52
wheat,23,2558.89
wheat,24,2555.05
wheat,25,2524.37
wheat,26,2533.27
wheat,27,2586.8
wheat,28,2598.2
wheat,29,2641.0
wheat,30,2644.81
rice,1,2587.82
rice,2,2642.67
rice,3,2669.54
rice,4,2651.65
rice,5,2666.23
rice,6,2710.04
rice,7,2644.59
rice,8,2655.63
rice,9,2694.48
rice,10,2725.82
rice,11,2786.64
rice,12,2710.63
rice,13,2808.39
rice,14,2768.91
rice,15,2838.01
rice,16,2797.89
rice,17,2786.79
rice,18,2835.55
rice,19,2838.0
rice,20,2861.22
rice,21,2908.89
rice,22,2839.6
rice,23,2915.49
rice,24,2924.27
rice,25,2963.72
rice,26,2943.01
rice,27,2988.62
rice,28,2980.74
rice,29,2969.2
rice,30,2977.93
corn,1,2107.47
corn,2,2159.32
corn,3,2163.79
corn,4,2122.18
corn,5,2169.05
corn,6,2129.72
corn,7,2157.16
corn,8,2152.42
corn,9,2231.22
corn,10,2211.11
corn,11,2174.95
corn,12,2264.74
corn,13,2274.94
corn,14,2288.82
corn,15,2216.95
corn,16,2233.29
corn,17,2280.23
corn,18,2267.75
corn,19,2322.33
corn,20,2316.37
corn,21,2361.35
corn,22,2370.25
corn,23,2374.14
corn,24,2387.7
corn,25,2349.94
corn,26,2385.47
corn,27,2366.39
corn,28,2369.24
corn,29,2370.39
corn,30,2412.6
soybean,1,4545.03
soybean,2,4659.92
soybean,3,4694.86
soybean,4,4772.91
soybean,5,4722.62
soybean,6,4740.87
soybean,7,4699.76
soybean,8,4725.28
soybean,9,4854.92
soybean,10,4803.17
